meeting_family,window,industry,届数,平均涨跌幅,最大涨跌幅,最小涨跌幅,上涨次数,下跌次数,持平次数,上涨概率,下跌概率,持平概率,权重,权重_百分比
中国国际进口博览会,T,建材,8,0.006405,0.02137,-0.027615,7,1,0,0.875,0.125,0.0,0.00176075,0.1761
中国国际进口博览会,T,建筑,8,0.007392,0.026964,-0.021837,7,1,0,0.875,0.125,0.0,0.00203208,0.2032
中国国际进口博览会,T,房地产,8,0.011983,0.039146,-0.014664,6,2,0,0.75,0.25,0.0,0.00329415,0.3294
中国国际进口博览会,T,有色金属,8,0.010047,0.032545,-0.008301,6,2,0,0.75,0.25,0.0,0.00276194,0.2762
中国国际进口博览会,T,机械,8,0.00907,0.028549,-0.006683,6,2,0,0.75,0.25,0.0,0.00249336,0.2493
中国国际进口博览会,T,电力及公用事业,8,0.000782,0.015773,-0.032212,6,2,0,0.75,0.25,0.0,0.00021497,0.0215
中国国际进口博览会,T,电力设备及新能源,8,0.015255,0.034353,-0.022038,6,2,0,0.75,0.25,0.0,0.00419363,0.4194
中国国际进口博览会,T,纺织服装,8,0.006964,0.017526,-0.006113,7,1,0,0.875,0.125,0.0,0.00191442,0.1914
中国国际进口博览会,T,综合,8,0.011397,0.022894,-0.018177,6,2,0,0.75,0.25,0.0,0.00313306,0.3133
中国国际进口博览会,T,计算机,8,0.014165,0.05753,-0.007183,6,2,0,0.75,0.25,0.0,0.00389399,0.3894
中国国际进口博览会,T,轻工制造,8,0.011044,0.018917,0.000128,8,0,0,1.0,0.0,0.0,0.00303602,0.3036
中国国际进口博览会,T,通信,8,0.011609,0.050986,-0.006004,6,2,0,0.75,0.25,0.0,0.00319134,0.3191
中国国际进口博览会,T,钢铁,8,0.005658,0.033476,-0.032696,6,2,0,0.75,0.25,0.0,0.0015554,0.1555
中国国际进口博览会,T,食品饮料,8,0.002126,0.019593,-0.024317,6,2,0,0.75,0.25,0.0,0.00058444,0.0584
中国国际进口博览会,T+1,交通运输,8,-0.002385,0.011153,-0.010787,2,6,0,0.25,0.75,0.0,-0.00065564,-0.0656
中国国际进口博览会,T+1,医药,8,-0.007894,0.002625,-0.024422,2,6,0,0.25,0.75,0.0,-0.00217008,-0.217
中国国际进口博览会,T+1,家电,8,0.000377,0.033088,-0.020047,2,6,0,0.25,0.75,0.0,0.00010364,0.0104
中国国际进口博览会,T+1,建材,8,-0.001061,0.008774,-0.005566,2,6,0,0.25,0.75,0.0,-0.00029167,-0.0292
中国国际进口博览会,T+1,房地产,8,0.004784,0.021558,-0.00926,6,2,0,0.75,0.25,0.0,0.00131513,0.1315
中国国际进口博览会,T+1,消费者服务,8,-0.006355,0.008169,-0.020412,2,6,0,0.25,0.75,0.0,-0.001747,-0.1747
中国国际进口博览会,T+1,电力及公用事业,8,-0.000531,0.007215,-0.005817,2,6,0,0.25,0.75,0.0,-0.00014597,-0.0146
中国国际进口博览会,T+1,电力设备及新能源,8,-0.000131,0.025308,-0.019468,2,6,0,0.25,0.75,0.0,-3.601e-05,-0.0036
中国国际进口博览会,T+1,石油石化,8,0.003632,0.015791,-0.008783,6,2,0,0.75,0.25,0.0,0.00099844,0.0998
中国国际进口博览会,T+1,钢铁,8,0.00687,0.022785,-0.003922,6,2,0,0.75,0.25,0.0,0.00188858,0.1889
